,address,categories,city,country,latitude,longitude,name,postalCode,state
2811,2200 Waterbury Rd,Fast Food Restaurants,Cheshire,US,41.545048,-72.958573,Blackies Hotdog Stand,6410,Connecticut
2812,505 Kalihi St,Fast Food Restaurants,Honolulu,US,21.325972,-157.880116,Chun Wah Kam Noodle Factory,96819,Hawaii
2813,3823 Guess Rd,Fast Food Restaurant,Durham,US,36.058624,-78.930378,Italian Pizzeria Restaurant,27705,North Carolina
2814,8400 W Overland Rd,Fast Food Restaurant and Burger Joint,Boise,US,43.590266,-116.286593,Burger King,83709,Idaho
2815,800 NW 9th St,Fast food restaurants,Corvallis,US,44.571228,-123.264616,Carl's Jr.,97330,Oregon
2816,655 Walnut St,Fast Food Restaurant and Burger Joint Downtown Des Moines,Des Moines,US,41.585872,-93.625377,Burger King,50309,Iowa
2817,555 Farrington Hwy,Fast Food,Kapolei,US,21.33777,-158.078537,Burger King,96707,Hawaii
2818,4508 Yellowstone Ave,Fast Food Restaurants,Pocatello,US,42.914956,-112.466129,Burger King,83202,Idaho
2819,2325 E 17th St,Fast Food Restaurants,Idaho Falls,US,43.482138,-111.987244,Burger King,83404,Idaho
2820,2310 4th St SW,Fast Food Restaurants,Mason City,US,43.148534,-93.235558,Burger King,50401,Iowa
2821,7 Commercial St,Fast Food,Medford,US,42.410757,-71.088206,Dunkin' Donuts,2155,Massachusetts
2822,401 Main St,Fast Food,Mashpee,US,41.649242,-70.482173,Dunkin' Donuts,2649,Massachusetts
2823,373 Waltham St,Fast Food,Lexington,US,42.4365,-71.234745,Dunkin' Donuts,2421,Massachusetts
2824,824 W Lacey Blvd,Fast Food,Hanford,US,36.328359,-119.65648,Arby's,93230,California
2825,34 Sammy Mcghee Blvd,"Fast Food Restaurant, Burger Joint, and American Restaurant",Jasper,US,34.465158,-84.450791,Burger King,30143,Georgia
2826,1710 Memorial Dr,Fast Food Restaurant,Waycross,US,31.206326,-82.336911,Burger King,31501,Georgia
2827,3475 Braselton Hwy,Fast Food,Dacula,US,34.070523,-83.914291,Arby's,30019,Georgia
2828,2424 Dallas Hwy SW,Fast Food,Marietta,US,33.946693,-84.622752,Arby's,30064,Georgia
2829,924 W Cypress Creek Rd,Fast Food Restaurants,Fort Lauderdale,US,26.20309,-80.156324,Arby's,33309,Florida
2830,6640 Ulmerton Rd,Fast Food Restaurants,Largo,US,27.893232,-82.72989,Arby's,33771,Florida
2831,10442 U S Hwy 19,Fast Food,Port Richey,US,28.309353,-82.699408,Arby's,34668,Florida
2832,3440 Us Hwy 27 S,Fast Food,Sebring,US,27.4684,-81.43803,Arby's,33870,Florida
2833,201 W Alexander St,Fast Food Restaurant,Plant City,US,27.988519,-82.123059,Arby's,33563,Florida
2834,5818 E Hillsborough Ave,"Fast Food Restaurant, American Restaurant, and Sandwich Place Village of Tampa",Tampa,US,27.996739,-82.390059,Arby's,33610,Florida
